ID,q,a
572,以下哪种材料是制造光纤的主要成分？A. 铜B. 铝C. 硅D. 玻璃,D. 玻璃
573,以下哪种材料具有良好的耐腐蚀性？A. 钢铁B. 铝C. 铜D. 不锈钢,D. 不锈钢
574,下列哪种材料常用于制造化学实验器皿？A. 陶瓷B. 木材C. 橡胶D. 塑料,A. 陶瓷
575,以下哪种材料在食品包装中应用较多？A. 玻璃B. 金属C. 聚乙烯D. 纸张,C. 聚乙烯
576,以下哪种材料对声音有良好的吸收效果？A. 玻璃B. 金属C. 泡沫材料D. 陶瓷,C. 泡沫材料
577,以下哪种材料在航空航天领域用于制造轻质结构？A. 钢铁B. 铝合金C. 钛合金D. 陶瓷,B. 铝合金
578,下列哪种材料在制造电池中应用较多？A. 橡胶B. 塑料C. 锌D. 纸张,C. 锌
579,下列哪种材料属于高分子材料？A. 铜B. 铝C. 聚乙烯D. 玻璃,C. 聚乙烯
580,以下哪种材料在制造电路板中应用较多？A. 橡胶B. 陶瓷C. 环氧树脂D. 纸张,C. 环氧树脂
581,镁在元素周期表中的位置是？A. 第1族B. 第2族C. 第3族D. 第4族,B. 第2族
582,镁的原子序数是多少？A. 12B. 13C. 24D. 25,A. 12
583,镁在自然界中最常见的状态是？A. 单质B. 氧化物C. 氢氧化物D. 盐,A. 单质
584,镁与盐酸反应生成的氢气量取决于？A. 镁的质量B. 盐酸的浓度C. 反应温度D. 以上都是,D. 以上都是
585,下列哪个反应不能用来制备镁？A. 电解熔融的氯化镁B. 镁与二氧化碳反应C. 镁与水反应D. 镁与氮气反应,B. 镁与二氧化碳反应
586,镁与硫酸反应生成的硫酸镁是一种？A. 盐B. 酸C. 碱D. 氧化物,A. 盐
587,下列哪个不是镁的常见合金？A. AZ91B. AM60C. ZK60D. Al2O3,D. Al2O3
588,镁在化学反应中通常表现出什么性质？A. 氧化性B. 还原性C. 稳定性D. 酸性,B. 还原性
589,镁与氧气反应的化学方程式是？A. 2Mg + O₂ → 2MgOB. Mg + O₂ → MgOC. Mg + 2O₂ → MgO₂D. 2Mg + O₂ → MgO₂,A. 2Mg + O₂ → 2MgO
590,镁在火焰中燃烧时发出什么颜色的火焰？A. 黄色B. 白色C. 紫色D. 蓝色,B. 白色
591,镁在医疗领域中的应用主要是什么？A. 作为抗生素B. 作为镇静剂C. 作为手术器械D. 作为补充剂,D. 作为补充剂
592,镁在食品工业中常作为？A. 防腐剂B. 营养强化剂C. 着色剂D. 调味剂,B. 营养强化剂
593,下列哪个元素与镁在同一周期？A. 铝B. 硅C. 钠D. 钾,B. 硅
594,下列哪种材料常用于汽车轻量化？A. 钢铁B. 铝合金C. 陶瓷D. 玻璃,B. 铝合金
595,碳纤维增强塑料（CFRP）主要用于哪种轻量化目的？A. 增加强度B. 提高耐腐蚀性C. 降低重量D. 提高导电性,C. 降低重量
596,下列哪种轻量化材料具有优异的耐腐蚀性？A. 镁合金B. 钛合金C. 塑料D. 橡胶,B. 钛合金
597,哪种材料不是轻量化材料的典型代表？A. 高强度钢B. 铝合金C. 铜合金D. 复合材料,C. 铜合金
598,聚合物泡沫材料主要用于哪种轻量化应用？A. 航空航天B. 电子产品C. 建筑结构D. 船舶制造,A. 航空航天
599,下列哪种轻量化材料具有较高的比强度？A. 铝合金B. 钛合金C. 玻璃纤维复合材料D. 石墨烯,B. 钛合金
600,哪种轻量化材料在航空航天领域应用广泛？A. 镁合金B. 钛合金C. 塑料D. 钢铁,B. 钛合金
601,哪种轻量化材料具有良好的热稳定性？A. 铝合金B. 塑料C. 陶瓷D. 橡胶,C. 陶瓷
602,下列哪种材料不是轻量化材料中的金属类材料？A. 铝合金B. 镁合金C. 钛合金D. 玻璃纤维复合材料,D. 玻璃纤维复合材料
603,轻量化材料在汽车工业中的主要目的是什么？A. 提高安全性B. 降低制造成本C. 减少能源消耗D. 增加车辆美观度,C. 减少能源消耗
604,下列哪种轻量化材料具有优异的抗冲击性能？A. 铝合金B. 镁合金C. 塑料D. 碳纤维复合材料,D. 碳纤维复合材料
605,哪种轻量化材料具有良好的加工性能？A. 钛合金B. 铝合金C. 陶瓷D. 石墨烯,B. 铝合金
606,下列哪种材料在轻量化材料中应用较少？A. 高分子材料B. 金属材料C. 复合材料D. 玻璃材料,D. 玻璃材料
607,轻量化材料中的纤维增强材料主要有什么作用？A. 增加强度B. 提高韧性C. 降低重量D. 提高导电性,A. 增加强度
608,哪种轻量化材料在电子产品中应用广泛？A. 镁合金B. 铝合金C. 塑料D. 陶瓷,C. 塑料
609,下列哪种轻量化材料具有优异的耐磨性？A. 铝合金B. 钛合金C. 塑料D. 碳纤维复合材料,B. 钛合金
610,轻量化材料的发展趋势是什么？A. 单一材料应用B. 多种材料复合应用C. 减少材料种类D. 增加材料厚度,B. 多种材料复合应用
611,哪种轻量化材料在船舶制造中应用较多？A. 铝合金B. 镁合金C. 玻璃纤维复合材料D. 钛合金,C. 玻璃纤维复合材料
612,下列哪种轻量化材料具有较低的热膨胀系数？A. 铝合金B. 塑料C. 陶瓷D. 橡胶,C. 陶瓷
613,轻量化材料的选择原则是什么？A. 选择最便宜的材料B. 选择最重的材料C. 根据性能需求选择最合适的材料D. 选择最常见的材料,料C. 根据性能需求选择最合适的材料
614,人造地球卫星围绕地球旋转所需最小速度叫第一宇宙速度，该速度为多少千米每秒？A、 7.9　　 B 、7.8    C、 7.6    D、7.5,A、 7.9
615,汽车轮胎上的沟纹主要作用是:A、 增加与地面的摩擦　 B、 排除雨水和泥水　C、 增加车身的缓冲     D、防止轮胎被戳破,A、 增加与地面的摩擦
616,"一个充满氢气的氢气球,把它放了,它将:A、一直向上升B、升到一定高度后停止上升C、一直上升,最后爆炸   D、先上升后降落","C、一直上升,最后爆炸 "
617,人类基因组计划堪称生物阿波罗计划，其中中国参与测定的部分占全部的：A、 50％　B、 20%　　C、 10%　　　D、 1%,D、 1%
618,国际大都市都热衷于举办世博会，法国巴黎先后共举办过（  ）次世博会A、 4    B、5    C、6    D、7, D、7
619,奥运会的五环旗象征着什么?A、五湖四海　 B、五谷丰登　C、五大洲运动员的友谊和团结　 D、五国,C、五大洲运动员的友谊和团结
620,第一届马拉松全程有多长?A、 39公里　　B、40公里　 C、41 公里　D、 42公里,　B、40公里
621,加入国际展览局的文件从（  ）起生效A、交存之日   B、交存之日后一个月C、交存之日后半年 D、交存之日后一年,A、交存之日
622,下面哪位著名美籍华人物理学家未曾获过诺贝尔物理学奖？A、杨振宁　B、李政道　C、丁肇中　D、吴健雄,D、吴健雄
623,计算机正确的开机顺序是：（  ）A、先开显示器，后开主机    B、先开主机，后开显示器　C、先开主机或先开显示器都一样   D、只开显示器,C、先开主机或先开显示器都一样
624,世界上第一个发明活字印刷术的是：（ ）A、毕昇   B、沈括    C、蔡伦    D、谷登堡,A、毕昇
625,英国科学家弗莱明与哪一种发明有关：（  ）A、狂犬病疫苗  B、青霉素  C、白日咳疫苗  D、甲肝疫苗,B、青霉素
626,世界上最大的瀑布之一奥赫拉比斯瀑布位于南非哪个城市：（  ）A、好望角   B、开普敦   C、德班   D、安哥拉,B、开普敦
627,君子兰是哪个城市的市花：（  ）A、哈尔滨    B、长春    C、沈阳   D、兰州,B、长春
628,世界上三大地震带是：（  ）A、环太平洋地震带、印度洋地震带和海岭地震带B、环太平洋地震带、亚欧地震带和海岭地震带C、亚欧地震带、北极洋地震带和环太平洋地震带D、印度洋地震带、北冰洋地震带和环太平洋地震带,B、环太平洋地震带、亚欧地震带和海岭地震带
629,当地震发生时你在家里（楼房），应如何避震：（  ）A、躲在桌子等坚固家具的下面，房屋倒塌后能形成三角空间的地方B、去楼道C、原地不动D、跳楼,A、躲在桌子等坚固家具的下面，房屋倒塌后能形成三角空间的地方
630,人体血液中红细胞可存活多少天？（ ）A、80 天  B、120天  C、150天 D、100天,B、120天
631,生物体的基本单位是：（  ）A、器官  B、分子  C、组织  D、细胞,D、细胞
632,下列等重量营养素产能最多的是：（  ）A、蛋白质  B、脂肪  C、糖类  D、盐类,B、脂肪
633,父亲的血型为A型，母亲的血型为AB型，所生子女的血型不可能为（  ）A、 A型 B、 B型　C、 O型　D、 AB型,C、 O型
634,不能用开水煎中药的原因是： （  ）A、开水会杀死植物性中药的有效细胞B、开水会使淀粉和蛋白凝结C、开水不能和中药溶合D、开水使中药的物质变得有毒,B、开水会使淀粉和蛋白凝结
635,使用洗衣机时，在同样的洗涤周期内，哪种模式更费电？（ ）A、强洗　 B、弱洗　 C、强洗弱洗用电一样   D、先强洗后弱洗,A、强洗
636,人的舌头的哪个部位对苦味最敏感?（  ）A、舌尖  B、舌两侧  C、舌根  D、舌中间,C、舌根
637,"电子计算机技术在半个世纪中虽有很大进步,但至今其运行仍遵循着一位科学家提出的基本原理，是哪位物理学家提出的？（  ）A、 牛顿   B、 爱因斯坦   C、 爱迪生   D、 冯·诺依曼 ",D、 冯·诺依曼
638,两栖动物的排泄器官是：（ ）A 、肾脏      B、皮肤      C、肺      D、肾脏，皮肤和肺,D、肾脏，皮肤和肺
639,昆虫和软体动物的肌肉组织分别是 ：（  ）A、 横纹肌和平滑肌   B、 都是横纹肌C、平滑肌和心肌      D、心肌、平滑肌和横纹肌都有,A、 横纹肌和平滑肌
640,一个成功的寄生虫具有何种条件？（  ）A、不会严重地伤害其宿主   B、会十分快地杀死其宿主C、可以不需宿主而存活     D、可以提供宿主好处,A、不会严重地伤害其宿主
641,下列食物中，属于植物种子的是 ：（  ）A、葡萄    B、葵花籽   C、大豆   D、板粟,C、大豆
642,具有伪足、胶足、斧足的动物依次是：（  ）A 、变形虫、蜗牛、河蚌   B、蜗牛、河蚌、乌贼C 、乌贼、变形虫、河蚌   D、河蚌、蜗牛、变形虫,A 、变形虫、蜗牛、河蚌
643,在雷雨天气里，人在下列哪所房子里最安全 ？（  ）A、铁屋    B、木屋    C、一般楼房    D、泥屋,A、铁屋
644,在星光灿烂的夜晚仰望天空，会看到繁星闪烁，像是顽皮的孩子在不时眨着眼，造成这种现象的原因是：（  ）A 、星星发光是断断续续的        B、被其它星体瞬间遮挡的结果C 、星光被地球大气层反射的结果  D、星光被地球大气层折射的结果,D、星光被地球大气层折射的结果
645,日光灯的发光效率比白炽灯高，是一种节能光源，但车床照明不使用日光灯，主要的原因是（  ）A 、日光灯是管形的，因此用它照明看不清零件的细节B 、长期在日光灯照射下，工人感到疲劳C 、日光灯发光是不连续的，观看转动的物体时会产生错觉D 、日光灯长度大，不便于工人操作,C 、日光灯发光是不连续的，观看转动的物体时会产生错觉
646,1969年2月9日，世界第一架宽机身民航机首次试飞成功，它是：（  ）A、波音727    B、波音747C、波音757    D、波音767,B、波音747
647,夏夜我们仰望天空看到的白光光带，就是民间流传的牛郎和织女传说中的“天河”。下列说法正确的是：（  ）A、 “天河”是银河系的全部     B、“天河”是由多个星云组成的C、“天河”是由好多恒星组成的  D、“天河”属于河外星系的一部分,C、“天河”是由好多恒星组成的
648,“神舟”号是（ ）A、人造卫星  B、航天飞机  C、国际空间站  D、载人航天实验飞船,D、载人航天实验飞船
649,城市多雾日的原因是：（  ）A、城市较湿润       B、城市有热岛效应 C、城市多上升气流   D、城市上空大气中凝结核较多,D、城市上空大气中凝结核较多
650,为使居民区街道两侧所有建筑都有较好的日照条件，应该（ ）A、街道可采取东西方向   B、房屋可朝向北方或南方C、街道可采取南北方向   D、街道可采取西北——东南走向,D、街道可采取西北——东南走向
651,"空调的功率和房间大小应该匹配,1匹空调适合多少平米左右的房间？（ ）A、12　  B、18　  C、22    D、20",A、12
652,下列哪个是全球气候变暖的原因？（  ）A 、人的感觉   B、温室效应   C、人口的增加  D、雪量的减少,B、温室效应
653,计算机上网用的“猫”指的是：（  ）A、网卡    B、内存      C、声卡     D、调制解调器,D、调制解调器
654,"一纳米是一米的(  ), 略等于45个原子排列起来的长度A、 十万分之一   B、 百万分之一   C、十亿分之一  D、一万分之一",C、十亿分之一
655,(    )是海洋能发电的一种，但是它是海洋能利用中发展最早、规模最大、技术较成熟的一种A、 潮汐能发电    B、 波力发电    C、 潮流发电    D、温度发电,A、 潮汐能发电
656,一个物体离开地球，必须沿着地球引力相反的方向(即向上)对它加力，使它作加速运动，当它达到一定速度时停止加力，它就能以惯性一直向前而脱离地球。物体在地球表面上(即距离为地球的半径)飞行时，这个速度为(  )，叫做脱离速度或逃逸速度A、11、2 千米/秒 B、12、2千米/秒 C、21、2千米/秒 D、11.6千米/秒,A、11、2 千米/秒 
657,"2004年初,美国宇航局的两架火星探测车成功登陆,他们包括下面哪个?（  ）A、 勇气号    B、神舟号     C、水手号    D、希望号",A、 勇气号
658,巴西人最喜爱的一种舞蹈是：（  ）A、华尔兹   B、桑巴   C、探戈   D、踢踏,B、桑巴  
659,"在一个温度恒定的室内,你赤脚站在瓷砖上觉得比站在棉花上冷,是因为:（  ）A、棉花温度较高   B、瓷砖导热较快  C、身体的错觉  D、瓷砖温度较低", B、瓷砖导热较快
660,用下列那种方法可以快速打开椰子？( )A、用锯子锯          B、放在洗衣机里快速旋转C、放在微波炉里加热  D、放进冰箱冷冻,C、放在微波炉里加热
661,"轮船发出六声短笛,这是表示什么呢?(   )A、倒退        B、避让       C、转弯      D、遇险",D、遇险
662,白炽灯用久了会发黑，发黑是因为：（）A、 玻璃老化    B、 玻璃遇热变色    C、 钨丝蒸发    D、灰尘,C、 钨丝蒸发 
663,一般说来，声音在（  ）以下时环境是安静的A、 50 分贝   B、60分贝    C、70分贝   D、40分贝,A、 50 分贝
664,世界十大环境污染之首是:（  ）A、 垃圾污染     B、大气污染    C、土地荒漠污染    D、水污染, B、大气污染
665,城市噪音污染主要来自：(  )A、交通运输和工业生产   B、人多嘈杂   C、商业活动   D、商店的音乐,A、交通运输和工业生产
666,补充哪种维生素有利于儿童骨骼生长?（  ）A、 维A    B、维D    C、维E    D、维C,B、维D 
667,下面提供的几种识别矿泉水真假的方法哪一种是错误的？（  ）A、同温下吸热速度快于自来水B、折光率较自来水大C、矿化度较自来水大D、矿泉水无异味,A、同温下吸热速度快于自来水
668,发生火灾时(  )A、不能随便开启门窗  B、只能开门  C、只能开窗 D、开启门窗 ,A、不能随便开启门窗
669,中国航天服重约多少千克？(  )A、15   B、20   C、10   D、5,C、10 
670,清洁的空气中含有多少氧？（  ）A、21%      B、31%      C、41%    D、35%,A、21% 
671,蜜蜂中的“蜂王”和“工蜂”分别是：（  ）A、 雌蜂、雄峰   B、 雌蜂、雌蜂   C、 雄峰、雄峰   D、 雄峰、雌蜂,B、 雌蜂、雌蜂  
672,奥运会上的马拉松比赛的起源与什么有关？（  ）A、 游戏     B、 战争     C、 打赌    D、食物,B、 战争
673,所谓“低碳经济”是以低能耗、( )、低污染为基础的经济发展模式A 低排放  B、低标准  C、低效率  D、低生产力,A 低排放
674,造成气候变暖的主要原因是人类生产活动中排放大量（  ）等温室气体 A．二氧化硫  B、一氧化碳  C、二氧化碳  D、二氧化氮,C、二氧化碳
675,以下哪种行为方式不符合环保要求？（  ）A、 拒绝豪华包装  B、吃不了，兜着走C、多用一次性筷子、餐盒、尿布等D、垃圾分类回收,C、多用一次性筷子、餐盒、尿布等
676,射击比赛中，飞碟靶的主要制作原料是：（ ）A、粘土、石英   B沥青、石膏、水泥C、玻璃、皮胶、硅砂岩   D、玻璃、石膏、皮胶,B沥青、石膏、水泥
677,下面家禽家畜中，谁的体温比较高一些？（  ）A、黄牛   B、马   C、猪   D、鸡,D、鸡
678,科学家发现宇宙大爆炸的重要依据之一是：(   )A、太空温度为-272.15K B、宇宙星体都在向一个方向收缩C、月球逐渐远离地球D、各星球偏离原轨道,A、太空温度为-272.15K
679,哈雷彗星每隔76年才光顾地球一次，上次是（   ）年A.1968  B.1986   C.2000  D.1998,B.1986 
680,批处理系统中把一批作业安排在输入设备上，然后依次读系统进行处理，从而形成了( )A.作业控制板  B.作业流    C.作业说明书  D.作业步,B.作业流  
681,（  ）是指把作业提交到系统的时间间隔A.响应时间  B.等待时间   C.周转时间 D.运行时间, C.周转时间
682,根据mRNA的信息推出获取目的基因的方法是(   )A.用DNA探针测出目的基因 B.用mRNA探针测出目的基因C.用mRNA反转录形成目的基因 D.用PCR技术扩增mRNA,C.用mRNA反转录形成目的基因 
683,一天中，下列城市中最先迎来黎明的是（  ）A.乌鲁木齐  B.西安   C.北京   D.拉萨,C.北京   
684,UNIX操作系统的文件系统是（   ）A.一级目录结构    B.二级目录结构    C.分级树形结构    D.链表结构,C.分级树形结构
685,在地球上什么位置可以看到全天的恒星？（   ）A.北极           B.赤道        C.南极        D.南回归线,  B.赤道
686,山茶是什么血型？（  ）A.A型  B.B型 C.O型  D.AB型,D.AB型
687,汽车上面的1.8T什么意思 ( )A 1.8L    B 1.8L机械增压    C 1.8L涡轮增压    D 1.8L电喷,C 1.8L涡轮增压
688,F1大赛中蓝旗所代表的意思 ( )A 停止比赛 B 继续比赛 C 最后一圈 D让车,D让车
689,在存储管理中，采用覆盖和交换技术的目的是（）A.利用辅存提高CPU的利用率B.利用辅存解决主存容量不足的矛盾，提高主存利用率C.利用辅存节省主存空间D.讲一个以上的作业放入主存，使之处于运行状态,A.利用辅存提高CPU的利用率
690,下列那一项设备不合适作为共享设备（）A.磁盘 B.磁鼓 C.磁带机 D.光驱,C.磁带机
691,下列哪种生物不能作为生物武器  （   ）A.伤寒杆菌       B.炭疽杆菌    C.乳酸菌    D.天花病毒,C.乳酸菌
692,"一个人在赤道上称了一次自己的体重,身体条件相同的情况下又到北极去称了一次,那么:（  ）A 赤道重,北极轻    B 赤道轻,北极重       C 一样重","B 赤道轻,北极重"
693,属于国家一类保护动物的是：（   ）A. 天鹅             B. 娃娃鱼          C. 孔雀                 D.丹顶鹤,D.丹顶鹤
694,细胞生长时，细胞壁表现一定的 （  ）A. 可逆性          B. 可塑性           C. 弹性              D. 刚性,C. 弹性
695,不能用开水煎中药的原因是： （  ）A.开水会杀死植物性中药的有效细胞          B.开水会使淀粉和蛋白凝结       C.开水不能和中药溶合,B.开水会使淀粉和蛋白凝结
696,人体血液中红细胞可存活多少天？（  ）A. 80天         B. 120天           C. 150天, B. 120天
697,发烧时不宜喝什么饮料？（  ）A. 果汁         B. 白开水           C. 浓茶,C. 浓茶
698,紫外线能够杀菌的主要原因是：（ ）A. 破坏细菌的核酸          B. 破坏细菌的糖类          C. 破坏细菌的脂类,A. 破坏细菌的核酸 
699,父亲的血型为A型，母亲的血型为AB型，所生子女的血型不可能为？（ ）A. A型         B. B型       C. O型       D. AB型,C. O型
700,不能用闪光灯为婴儿拍照是为了保护婴儿的哪里? (    )A 视网膜      B 神经系统       C发根,A 视网膜
701,如果建筑物的一扇窗玻璃被打坏了，而又得不到及时维修，就可能给人以某些暗示性的纵容，去打烂更多的窗户。这种效应叫：(   )A、印随效应    B、马太效应   C、破窗效应   D、暗容效应,C、破窗效应
702,有一种物质可以传送光线而不会将能量以热的形式浪费掉，它可以把手机信号放大10倍，让电脑的速度提高1万倍，它是：(  )A、氧化钾    B、氮化镓   C、氧化钴   D、氧化镁, B、氮化镓
703,绝大部分的十二指肠溃疡和胃溃疡都是由一种病菌引起的，这种病菌是：(   )A、幽门螺杆菌   B、巴氏杆菌  C、大肠杆菌  D、念珠菌,A、幽门螺杆菌
704,有一种气体在空气中的比例约为78%，其氧化物不仅参与地面臭氧的形成，还会导致全球变暖，造成生物多样性减少，这种气体是：(   )A、二氧化碳   B、甲烷气体   C、氮气   D、氯气,C、氮气   
705,利用阳光映出的铜针阴影位置断定当时的时刻的计时器，在古代名为：（ ）A、日晷   B、铜壶滴漏   C、钟表   D、指南针,A、日晷
706,在乾清宫门外两侧，陈设着十口金光闪闪的鎏金大铜缸，一方面它作为宫中的露天陈设品，请问还有什么作用？（  ）A、洗澡   B、救火   C、罚人   D、降温, B、救火
707,太和殿内地面用金砖铺成，烧成之后经过严格检查，达到何种程度方可使用？（  ）A、无裂缝 B、敲之有声，断之无孔 C、土质好，烧工精 D、敲之无声,B、敲之有声，断之无孔 
708,飞机的航行灯有几种颜色：(   )A、6      B、1      C、4     D、3,D、3
709,比赛用的足球重量是（  ）A、365-400克   B、396-453克   C、435-483克   D、400克-435克,B、396-453克
710,“第四媒体”的概念指的是：（  ）A、 多媒体   B、网络媒体   C、网上报纸   D、手机, B、网络媒体  
711,人类下一次见到哈雷彗星应该是哪一年？（  ）A、2026年   B、2053年   C、2062年   D、2074年, C、2062年
712,泰勒斯认为万物之源是：(  )A、 水         B、 火       C、 风       D、 原子,A、 水  
713,占人体细胞干重50％以上的有机化合物是：(  )A、糖元         B、蛋白质        C、脂肪      D、核酸,B、蛋白质
714,安全带的正确挂扣应该是： （  ）A、同一水平   B、低挂高用    C、高挂低用    D、参差不齐,C、高挂低用
715,在梯子上工作时，梯与地面的斜角度应为多少度左右。（  ）A、30        B、45          C、60          D、50,C、60 
716,1928年1月7日，由马德拉岛到开普敦的海面上，出现了一道奇特的彩虹，在能见度很差的雾霭中有一光晕，晕环下部似乎能触及船侧，你知道这道彩虹成什么颜色吗？ （  ）A、红色　　B、蓝白色　　C、蓝色　　D、白色,D、白色
717,“海市蜃楼”通常发生在什么时候？ （  ）A、春天　　B、夏天　　C、秋天　　D、冬天,B、夏天
718,天气预报：“今天阴有小雨”你可知道小雨的降雨量为多少？（ ）A、15毫米以下　　B、20毫米以下　 C、25毫米以下　　D、30毫米以下,A、15毫米以下
719,零时到八九点钟，有许多称谓，如：凌晨、黎明、清晨、早晨等，你知道凌晨是哪一段时间？ （  )A、零时至六时　　B、申时到六时　　 C、天快亮时　　D、天刚亮时,A、零时至六时
720,我国传统表示次序的“天干”共有几个字？（  ）A、十个           B、十二个        C、十三个     D十五个,A、十个
721,王羲之对一种动物十分偏爱，并对它的体态姿势上领悟到书法执笔运笔的道理，这是什么动物？（   ）A、鹤        B、鹅        C、鸡        D、鱼, B、鹅
722,张衡发明的地动仪上有几条龙？（    ）A、八条          B、三条         C、七条      D、五条,A、八条
723,切脉是中医独创的诊法，中医把脉时摸的是：（  ）A、静脉        B、动脉      C 、主动脉      D、大动脉, B、动脉  
724,中国古代最大的一部百科全书是：（  ）A、《永乐大典》  B、《四库全书》  C、《史记》   D、《四书五经》,A、《永乐大典
725,感冒忌用下列哪一种食物 （  ）。A、海鱼     B、生姜 　  C、西瓜     D、豆浆,A、海鱼
726,鸡蛋为什么不能洗了以后存放? (  )A、易被细菌侵入变坏     B、易破     C、易变软      D、易变味,A、易被细菌侵入变坏
727,我国是世界第几大能源生产和第几大能源消费国？(  ）A、第二    第三         B、第三  第二  C、第三   第四          D、第四   第三,B、第三  第二  
728,“打蛇打七寸”的七寸是指：( )A、咽喉      B、心脏     C、头部    D、尾部,B、心脏
729,比较起来下面哪种烧水方法不利于节能？（  ）　　A.用电水壶烧水        B.用电饭锅烧水    C.用煤气烧水          D用电磁炉烧水, B.用电饭锅烧水
730,请问达尔文的《物种起源》的中心观点是什么？(  )A、任何事物都是上帝创造的         B、天大地大，人类最大   C、物竞天泽，适者生存             D、任何事物都有其存在的价值,C、物竞天泽，适者生存
731,世界卫生组织对健康的阐述是(   )  。A、无痛、无伤、无残              B、机体无疾病和衰弱    C、躯体、心理                    D、道德健康及社会适应, C、躯体、心理
732,世界上最大的熊是(  )，有3米多长，750-800千克。A、黑熊    B、棕熊   C、树袋熊   D、北极熊, B、棕熊
733,以下不属于宁夏五宝的是  (  )A、枸杞    B、甘草    C、贺兰石    D、人参,D、人参
734,在游泳池水下仰望水面，水面（ ）A、清澈透明  B、浑浊  C、像水银一样反光  D、清澈,A、清澈透明
735,汽车耗油量通常随着排气量的上升而（  ）。A、增加  B、减少  C、不变  D、先增后减,A、增加
736,以下哪项不是汽车节油的有效方法？(  )A、确保发动机状态良好  B、高速行驶时关闭空调、开启车窗 C、彻底实行车辆轻量化  D、不用汽车时不要让车处于待车状态, B、高速行驶时关闭空调、开启车窗
737,下列城市垃圾中哪些分类回收可成为再生资源：（  ）A、废金属  B、剩饭  C、残渣  D、废电池,A、废金属
738,大气污染主要来源于哪些方面？（  ）A、工业生产  B、畜牧养殖  C、种植花木   D、水体污染,A、工业生产 
739,吃掉植物，窃取其叶绿体，然后像植物一样仅靠阳光持续光合作用便能饱食终日。完成这一壮举的动物是：（    ）A.椰子蟹     B.海蜗牛  C.冬虫夏草     D.以上答案都不正确, B.海蜗牛
740,为了减轻眼睛疲劳，看电视要保持适当距离，如14寸彩电应保持距离为(   ) 。A、1米      B、1、5米      C、2米       D、3米,C、2米
741,保护水环境，我们应该选择使用（  ）洗衣粉。A、普通    B、无磷    C、廉价   D昂贵, B、无磷
742,居室中什么地方污染最重（  ）。A、卧室   B、洗手间    C、厨房    D、客厅,C、厨房
743,下面属于可再生能源的是（  ）。A、太阳能    B、电力    C、煤炭    D、石油,A、太阳能
744,废电池乱丢对人体不会造成（  ）。A、镉中毒    B、氰中毒   C、锰中毒   D、汞中毒,B、氰中毒
745,含磷洗衣粉中的（  ）是造成水体富营养化的罪魁祸首。A、磷酸　　B、磷酸盐 　　C、甲醛 　D、甲醇　,B、磷酸盐
746,以下食品中铅含量最高的是(  )。A、黄瓜　　B、松花蛋　　C、面包      D、蛋糕,B、松花蛋
747,人工合成色素的原料大部分是(  )。A、植物　　      B、煤焦油　　      C、动物脂肪          D、蛋白质,B、煤焦油
748,能提高身体排污能力的食品是(  )。A、高蛋白、高热量、高脂肪的食品       B、粗粮、豆类、海藻　C、各种饮料     D、水果, B、粗粮、豆类、海藻
749,以下哪种食品中所含致癌物质最多?(  )A、水煮鱼        B、烤羊肉串　　   C、炒面                D、松花蛋, B、烤羊肉串
750,最环保的能源（  ）。A、水能          B、核能           C、电能                D、化学能,A、水能
751,节能灯是一种绿色照明光源，它与白炽灯相比可节电（  ）。A、10%-20%        B、30%-40%        C、70%-80%          D、80%-90%,C、70%-80%  
752,重金属污染最为严重的食品是（  ）。A、虾和贝类    B、猪肉  C、鱼类      D、蔬菜,A、虾和贝类
753,下列现象不属于生物应激性的是：（  ）A、老鼠听到猫叫立即躲进洞里　　     B、青草地里的昆虫多数是绿色的   C、狗遇生人狂吠                     D、猫遇生人就躲,B、青草地里的昆虫多数是绿色的 
754,乌贼体内有墨囊，遇到敌害时，墨汁从漏斗里喷出，染黑海水，乌贼趁机跳之夭夭。这一现象说明生物具有：（  ）A、应激性　　 B、遗传性　　 C、适应性        D、有序性,A、应激性
755,影响秋天树木落叶的最重要因素是（  ）。A、大气平均温度的变化    B、日照时间的变化   C、空气中水分的变化                   D、土壤的质量,B、日照时间的变化
756,判断排污者是否应承担民事责任的依据是(  )。A、环保基础标准       B、环境质量标准  C、污染物排放标准      D、污染物的排放地,C、污染物排放标准
757,从“低碳生活”角度，以下哪些是正确使用冰箱的做法？（  ）A、将温度高于室温的食品放入冰箱      B、尽量减少开门次数 C、经常把插头拔掉                    D、将温度低于室温的食品放入冰箱,B、尽量减少开门次数
758,科学研究表明，室外锻炼最佳时间是什么时候？（  ）A、下午、傍晚   B、早晨、傍晚  C、早晨、晚上                       D、早晨、下午,A、下午、傍晚  
759,遇到危险时，母鸡会发出“咯咯咯”的叫声，野兔会用后足敲击地面发出“噔噔噔”的响声，决定动物这种“报警”行为的是：（  ）A、遗传性　　    B、应激性　　    C、适应性              D、变异性, B、应激性
760,绿色开花植物的胚和胚乳在何处发育（  ）。A、子房　　　　    B、 胚珠　　　     C、种子             D、果实, B、 胚珠　
761,完全不含人工化学合成物的农药、肥料、生长调节素、催熟剂、家畜禽饲料添加剂的食品是下面哪种食品（  ）。A、绿色食品        B、有机食品        C、无公害食品       D、无机食品,B、有机食品 
762,奔驰轿车急刹车时，前后对地面的压力的情况是：（  ）A、前轮较大　　  B、后轮较大　　   C、前后轮一样大     D、前轮较小,A、前轮较大　
